timestamp,"tweet_text"
2021-06-13T14:41:14Z,"@maybelbc @colinelves @ReadingAccoun11 @gladragsteabags @FA @England Yes. I have. I've lived through it a lot longer than you. Do you think you are the only one? So conceited and entitled."
2021-06-13T14:41:15Z,"Modric being showed levels by Kalvin Phillips, Ballon D’or winner my arse"
2021-06-13T14:41:19Z,"A boy from ends on for England in a major tournament we love to see it"
2021-06-13T14:41:29Z,"looks good for England 👀"
2021-06-13T14:41:31Z,"Think that the top l'm wearing is older than Bellingham #ENGCRO"
2021-06-13T14:41:33Z,"I'll say this about England - &amp; I'm NOT saying it'll win Euros - but it does *feel* different these days
I can remember a lot of major tourneys in the last 15-20 years where you just knew, even with all that EPL talent, Three Lions would underwhelm
It does *feel* different now"
2021-06-13T14:41:55Z,"@theOGSeffect The faces of those in proximity, suggests he has been at it all game.😆

Why not, sun's out England are winning, the acid's kicking in. Go for it!"
2021-06-13T14:41:56Z,"@dingleberry111 @colinelves @ReadingAccoun11 @gladragsteabags @FA @England What racism have you experienced? Cos its impossible to experience racism in the UK which is a white dominated society"
2021-06-13T14:41:58Z,"Clearly phillips is the man of the match #Euro2020"
2021-06-13T14:42:04Z,"Jude Bellingham 🏴󠁧󠁢󠁥󠁮󠁧󠁿 is the youngest player EVER to play at the EUROs. 🌟 #ENG #EURO2020 https://t.co/y6xezrxUu2"
2021-06-13T14:42:18Z,"Harry Kane is so dead for England I rather see DCL up top"
2021-06-13T14:42:20Z,"@Celousrach Ke bona okare oa maintain'a, Mount o tsena ko Right'eng, Jude goes straight, Rashford okare keo oa top'a"
2021-06-13T14:42:31Z,"Modric is still so so good! A joy to watch 😍 #EURO2020"
2021-06-13T14:42:59Z,"@LFCDevlin England have focused on getting more people the first vaccination so a lot of 18+ have the first, all the most vulnerable have both. 
You can still get into the stadium without a vaccination if you have a negative test I’m pretty sure"
2021-06-13T14:43:05Z,"Tactical approach from Croatia just isn’t good enough, without Modric on the pitch they would’ve been overrun already"
2021-06-13T14:43:07Z,"Scotland will beat England..easily."
2021-06-13T14:43:09Z,"England fans at the back 🤣 #EURO2020 https://t.co/eWNBL0NdAP"
2021-06-13T14:43:10Z,"England fans finally praising Phillips after today's performance. 

Leeds Fans: 
#yorkshirepirlo #ENGCRO #EURO2020 https://t.co/t3OrB8gh7U"
2021-06-13T14:43:23Z,"Kane's only contribution to the match today was getting smacked up by the goalposts. 🙄

#engcro"
